customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,1982-04-12,,,,
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,1995-11-23,2024-08-28,N,60.0,2.0
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,1978-02-15,,,,
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,2001-08-30,,,,
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,1990-05-05,2024-01-20,Y,20.0,1.0
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,1988-12-10,2025-03-18,N,90.0,1.0
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,1976-09-21,2024-11-01,N,30.0,1.0
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,1999-03-14,,,,
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,1985-07-07,,,,
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29,,,,
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1997-01-22,,,,
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,Y,25.0,1.0
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,2004-12-01,,,,
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,1992-04-25,2024-09-27,Y,30.0,1.0
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,,,
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,1986-02-28,,,,
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,1994-08-19,,,,
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,2000-09-02,,,,
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,N,90.0,2.0
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14,,,,
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,1977-10-06,,,,
0024-UDAXI,2019-06-25,Refferal,2020-06-25,Basic,Monthly,2020-06-06,Too expensive,12.59,123,80,1,ishaan,India,Rajasthan,Female,2003-01-12,,,,
0025-HHEXD,2020-05-06,Refferal,2021-05-06,Premium,Annual,,,48.53,2620,31,0,vikram,India,Telangana,Male,1980-12-11,2025-03-26,Y,5.0,2.0
0026-VXRCS,2023-07-22,Paid,2025-07-22,Basic,Annual,,,16.38,835,17,0,manoj,India,Nagaland,Female,1985-05-28,,,,
0027-NBACG,2023-09-04,Paid,2025-09-04,Standard,Annual,,,17.59,1495,3,0,dev,India,Maharashtra,Male,1994-07-12,,,,
0028-HQTAR,2021-11-28,Refferal,2022-11-28,Premium,Annual,,,72.81,5970,20,0,uday,Nepal,Kathmandu,Male,1986-07-03,,,,
0029-GWUWR,2023-05-13,Refferal,2024-05-13,Premium,Monthly,,,60.44,3203,19,0,farah,India,Rajasthan,Male,1981-07-22,,,,
0030-NHOSI,2020-11-03,Refferal,2022-11-03,Basic,Annual,,,12.14,546,22,0,chirag,India,Meghalaya,Female,1989-08-22,,,,
0031-ZAYZF,2023-02-15,Paid,2024-02-15,Basic,Monthly,,,11.13,946,13,0,zubin,India,Nagaland,Female,1982-04-05,,,,
0032-WNKIE,2020-03-26,Paid,2021-03-26,Basic,Monthly,,,16.57,1242,4,0,rajiv,India,Telangana,Male,1979-11-23,2023-12-24,N,70.0,2.0
0033-GYKDC,2021-04-27,Paid,2023-04-27,Premium,Annual,,,76.13,4339,16,0,zubin,India,Uttar Pradesh,Female,2001-09-15,,,,
0034-MDLLT,2020-04-13,Organic,2021-04-13,Premium,Monthly,2020-06-14,Poor streaming quality,70.95,209,91,1,tarun2,India,Rajasthan,Male,1983-06-11,2020-04-27,N,79.0,1.0
0035-IZBXO,2023-12-24,Paid,2024-12-24,Basic,Annual,,,11.87,486,32,0,bina,India,Maharashtra,Female,1990-01-12,,,,
0036-RDMCR,2023-10-22,Paid,2024-10-22,Premium,Monthly,,,22.94,2179,9,0,nitin,India,Telangana,Male,2001-08-05,,,,
0037-JUTLS,2022-05-27,Paid,2023-05-27,Basic,Annual,2022-07-22,Not enough content,11.69,372,79,1,ananya,India,Rajasthan,Female,1985-04-15,2022-06-09,N,49.0,2.0
0038-GWCBV,2021-06-06,Refferal,2022-06-06,Premium,Annual,,,76.99,3541,20,0,nikhil,India,Delhi,Female,1996-02-19,,,,
